   Elapsed time	    III
   hh:mm:ss.mmm	   (mV)
       0:00.000	 -0.064
       0:00.001	 -0.050
       0:00.002	 -0.047
       0:00.003	 -0.044
       0:00.004	 -0.042
       0:00.005	 -0.044
       0:00.006	 -0.045
       0:00.007	 -0.044
       0:00.008	 -0.043
       0:00.009	 -0.041
       0:00.010	 -0.041
       0:00.011	 -0.034
       0:00.012	 -0.030
       0:00.013	 -0.028
       0:00.014	 -0.029
       0:00.015	 -0.031
       0:00.016	 -0.031
       0:00.017	 -0.031
       0:00.018	 -0.028
       0:00.019	 -0.028
       0:00.020	 -0.028
       0:00.021	 -0.025
       0:00.022	 -0.022
       0:00.023	 -0.019
       0:00.024	 -0.019
       0:00.025	 -0.016
       0:00.026	 -0.014
       0:00.027	 -0.012
       0:00.028	 -0.012
       0:00.029	 -0.012
       0:00.030	 -0.012
       0:00.031	 -0.012
       0:00.032	 -0.009
       0:00.033	 -0.012
       0:00.034	 -0.012
       0:00.035	 -0.019
       0:00.036	 -0.022
       0:00.037	 -0.022
       0:00.038	 -0.026
       0:00.039	 -0.028
       0:00.040	 -0.026
       0:00.041	 -0.028
       0:00.042	 -0.028
       0:00.043	 -0.031
       0:00.044	 -0.028
       0:00.045	 -0.028
       0:00.046	 -0.026
       0:00.047	 -0.028
       0:00.048	 -0.027
       0:00.049	 -0.025
       0:00.050	 -0.028
       0:00.051	 -0.028
       0:00.052	 -0.030
       0:00.053	 -0.028
       0:00.054	 -0.028
       0:00.055	 -0.028
       0:00.056	 -0.026
       0:00.057	 -0.028
       0:00.058	 -0.028
       0:00.059	 -0.028
       0:00.060	 -0.028
       0:00.061	 -0.028
       0:00.062	 -0.031
       0:00.063	 -0.031
       0:00.064	 -0.028
       0:00.065	 -0.028
       0:00.066	 -0.031
       0:00.067	 -0.034
       0:00.068	 -0.039
       0:00.069	 -0.047
       0:00.070	 -0.051
       0:00.071	 -0.056
       0:00.072	 -0.056
       0:00.073	 -0.056
       0:00.074	 -0.059
       0:00.075	 -0.062
       0:00.076	 -0.070
       0:00.077	 -0.075
       0:00.078	 -0.077
       0:00.079	 -0.078
       0:00.080	 -0.075
       0:00.081	 -0.075
       0:00.082	 -0.079
       0:00.083	 -0.081
       0:00.084	 -0.081
       0:00.085	 -0.081
       0:00.086	 -0.079
       0:00.087	 -0.081
       0:00.088	 -0.081
       0:00.089	 -0.075
       0:00.090	 -0.075
       0:00.091	 -0.078
       0:00.092	 -0.078
       0:00.093	 -0.078
       0:00.094	 -0.079
       0:00.095	 -0.081
       0:00.096	 -0.081
       0:00.097	 -0.078
       0:00.098	 -0.081
       0:00.099	 -0.078
       0:00.100	 -0.079
       0:00.101	 -0.081
       0:00.102	 -0.083
       0:00.103	 -0.081
       0:00.104	 -0.083
       0:00.105	 -0.081
       0:00.106	 -0.083
       0:00.107	 -0.081
       0:00.108	 -0.086
       0:00.109	 -0.084
       0:00.110	 -0.084
       0:00.111	 -0.084
       0:00.112	 -0.081
       0:00.113	 -0.081
       0:00.114	 -0.080
       0:00.115	 -0.081
       0:00.116	 -0.083
       0:00.117	 -0.084
       0:00.118	 -0.084
       0:00.119	 -0.084
       0:00.120	 -0.086
       0:00.121	 -0.081
       0:00.122	 -0.081
       0:00.123	 -0.081
       0:00.124	 -0.084
       0:00.125	 -0.084
       0:00.126	 -0.083
       0:00.127	 -0.084
       0:00.128	 -0.084
       0:00.129	 -0.084
       0:00.130	 -0.084
       0:00.131	 -0.084
       0:00.132	 -0.084
       0:00.133	 -0.084
       0:00.134	 -0.087
       0:00.135	 -0.091
       0:00.136	 -0.091
       0:00.137	 -0.091
       0:00.138	 -0.089
       0:00.139	 -0.087
       0:00.140	 -0.084
       0:00.141	 -0.075
       0:00.142	 -0.072
       0:00.143	 -0.066
       0:00.144	 -0.058
       0:00.145	 -0.047
       0:00.146	 -0.033
       0:00.147	 -0.025
       0:00.148	 -0.020
       0:00.149	 -0.022
       0:00.150	 -0.019
       0:00.151	 -0.019
       0:00.152	 -0.009
       0:00.153	 -0.003
       0:00.154	  0.012
       0:00.155	  0.028
       0:00.156	  0.048
       0:00.157	  0.066
       0:00.158	  0.087
