   Elapsed time	   ECG I
   hh:mm:ss.mmm	   (mV)
       0:00.000	  0.080
       0:00.001	  0.075
       0:00.002	  0.070
       0:00.003	  0.073
       0:00.004	  0.075
       0:00.005	  0.073
       0:00.006	  0.063
       0:00.007	  0.058
       0:00.008	  0.060
       0:00.009	  0.063
       0:00.010	  0.058
       0:00.011	  0.053
       0:00.012	  0.053
       0:00.013	  0.055
       0:00.014	  0.053
       0:00.015	  0.045
       0:00.016	  0.040
       0:00.017	  0.040
       0:00.018	  0.038
       0:00.019	  0.035
       0:00.020	  0.033
       0:00.021	  0.033
       0:00.022	  0.033
       0:00.023	  0.033
       0:00.024	  0.028
       0:00.025	  0.020
       0:00.026	  0.013
       0:00.027	  0.015
       0:00.028	  0.020
       0:00.029	  0.020
       0:00.030	  0.015
       0:00.031	  0.008
       0:00.032	  0.005
       0:00.033	  0.003
       0:00.034	  0.000
       0:00.035	  0.003
       0:00.036	  0.005
       0:00.037	  0.005
       0:00.038	  0.003
       0:00.039	  0.003
       0:00.040	  0.003
       0:00.041	  0.000
       0:00.042	 -0.008
       0:00.043	 -0.013
       0:00.044	 -0.013
       0:00.045	 -0.010
       0:00.046	 -0.013
       0:00.047	 -0.015
       0:00.048	 -0.018
       0:00.049	 -0.018
       0:00.050	 -0.018
       0:00.051	 -0.018
       0:00.052	 -0.015
       0:00.053	 -0.010
       0:00.054	 -0.010
       0:00.055	 -0.013
       0:00.056	 -0.018
       0:00.057	 -0.023
       0:00.058	 -0.023
       0:00.059	 -0.020
       0:00.060	 -0.020
       0:00.061	 -0.023
       0:00.062	 -0.025
       0:00.063	 -0.028
       0:00.064	 -0.028
       0:00.065	 -0.025
       0:00.066	 -0.023
       0:00.067	 -0.023
       0:00.068	 -0.023
       0:00.069	 -0.025
       0:00.070	 -0.025
       0:00.071	 -0.023
       0:00.072	 -0.025
       0:00.073	 -0.030
       0:00.074	 -0.035
       0:00.075	 -0.035
       0:00.076	 -0.033
       0:00.077	 -0.033
       0:00.078	 -0.033
       0:00.079	 -0.030
       0:00.080	 -0.028
       0:00.081	 -0.028
       0:00.082	 -0.030
       0:00.083	 -0.030
       0:00.084	 -0.028
       0:00.085	 -0.030
       0:00.086	 -0.035
       0:00.087	 -0.038
       0:00.088	 -0.033
       0:00.089	 -0.028
       0:00.090	 -0.030
       0:00.091	 -0.033
       0:00.092	 -0.035
       0:00.093	 -0.033
       0:00.094	 -0.033
       0:00.095	 -0.033
       0:00.096	 -0.035
       0:00.097	 -0.038
       0:00.098	 -0.043
       0:00.099	 -0.043
       0:00.100	 -0.040
       0:00.101	 -0.035
       0:00.102	 -0.033
       0:00.103	 -0.030
       0:00.104	 -0.033
       0:00.105	 -0.035
       0:00.106	 -0.035
       0:00.107	 -0.030
       0:00.108	 -0.025
       0:00.109	 -0.020
       0:00.110	 -0.023
       0:00.111	 -0.028
       0:00.112	 -0.030
       0:00.113	 -0.028
       0:00.114	 -0.025
       0:00.115	 -0.023
       0:00.116	 -0.023
       0:00.117	 -0.025
       0:00.118	 -0.028
       0:00.119	 -0.025
       0:00.120	 -0.023
       0:00.121	 -0.023
       0:00.122	 -0.025
       0:00.123	 -0.028
       0:00.124	 -0.028
       0:00.125	 -0.023
       0:00.126	 -0.020
       0:00.127	 -0.018
       0:00.128	 -0.018
       0:00.129	 -0.018
       0:00.130	 -0.018
       0:00.131	 -0.018
       0:00.132	 -0.020
       0:00.133	 -0.020
       0:00.134	 -0.020
       0:00.135	 -0.018
       0:00.136	 -0.018
       0:00.137	 -0.020
       0:00.138	 -0.020
       0:00.139	 -0.018
       0:00.140	 -0.015
       0:00.141	 -0.015
       0:00.142	 -0.015
       0:00.143	 -0.015
       0:00.144	 -0.018
       0:00.145	 -0.020
       0:00.146	 -0.023
       0:00.147	 -0.020
       0:00.148	 -0.018
       0:00.149	 -0.018
       0:00.150	 -0.018
       0:00.151	 -0.015
       0:00.152	 -0.013
       0:00.153	 -0.015
       0:00.154	 -0.023
       0:00.155	 -0.030
       0:00.156	 -0.030
       0:00.157	 -0.028
       0:00.158	 -0.025
       0:00.159	 -0.025
       0:00.160	 -0.023
       0:00.161	 -0.018
       0:00.162	 -0.015
       0:00.163	 -0.015
       0:00.164	 -0.015
       0:00.165	 -0.018
       0:00.166	 -0.018
       0:00.167	 -0.015
       0:00.168	 -0.013
       0:00.169	 -0.013
       0:00.170	 -0.015
       0:00.171	 -0.015
       0:00.172	 -0.010
       0:00.173	 -0.008
       0:00.174	 -0.010
       0:00.175	 -0.013
       0:00.176	 -0.015
       0:00.177	 -0.015
       0:00.178	 -0.015
       0:00.179	 -0.015
       0:00.180	 -0.015
       0:00.181	 -0.015
       0:00.182	 -0.015
       0:00.183	 -0.015
       0:00.184	 -0.013
       0:00.185	 -0.013
       0:00.186	 -0.015
       0:00.187	 -0.015
       0:00.188	 -0.013
       0:00.189	 -0.010
       0:00.190	 -0.013
       0:00.191	 -0.015
       0:00.192	 -0.015
       0:00.193	 -0.015
       0:00.194	 -0.018
       0:00.195	 -0.020
       0:00.196	 -0.020
       0:00.197	 -0.020
       0:00.198	 -0.020
       0:00.199	 -0.023
       0:00.200	 -0.020
       0:00.201	 -0.018
       0:00.202	 -0.020
       0:00.203	 -0.023
       0:00.204	 -0.023
       0:00.205	 -0.020
       0:00.206	 -0.020
       0:00.207	 -0.023
       0:00.208	 -0.023
       0:00.209	 -0.020
       0:00.210	 -0.023
       0:00.211	 -0.028
       0:00.212	 -0.028
       0:00.213	 -0.025
       0:00.214	 -0.025
       0:00.215	 -0.028
       0:00.216	 -0.025
       0:00.217	 -0.018
       0:00.218	 -0.015
       0:00.219	 -0.020
       0:00.220	 -0.025
       0:00.221	 -0.020
       0:00.222	 -0.015
       0:00.223	 -0.015
       0:00.224	 -0.023
       0:00.225	 -0.028
       0:00.226	 -0.028
       0:00.227	 -0.030
       0:00.228	 -0.030
       0:00.229	 -0.028
       0:00.230	 -0.025
       0:00.231	 -0.025
       0:00.232	 -0.028
       0:00.233	 -0.025
       0:00.234	 -0.023
       0:00.235	 -0.023
       0:00.236	 -0.028
       0:00.237	 -0.028
       0:00.238	 -0.025
       0:00.239	 -0.025
       0:00.240	 -0.030
       0:00.241	 -0.033
       0:00.242	 -0.033
       0:00.243	 -0.033
       0:00.244	 -0.035
       0:00.245	 -0.038
       0:00.246	 -0.035
       0:00.247	 -0.033
       0:00.248	 -0.030
       0:00.249	 -0.028
       0:00.250	 -0.025
       0:00.251	 -0.025
       0:00.252	 -0.028
       0:00.253	 -0.030
       0:00.254	 -0.028
       0:00.255	 -0.025
       0:00.256	 -0.028
       0:00.257	 -0.030
       0:00.258	 -0.030
       0:00.259	 -0.028
       0:00.260	 -0.025
       0:00.261	 -0.023
       0:00.262	 -0.023
       0:00.263	 -0.025
       0:00.264	 -0.030
       0:00.265	 -0.035
       0:00.266	 -0.035
       0:00.267	 -0.035
       0:00.268	 -0.038
       0:00.269	 -0.043
       0:00.270	 -0.043
       0:00.271	 -0.035
       0:00.272	 -0.028
       0:00.273	 -0.025
       0:00.274	 -0.028
       0:00.275	 -0.028
       0:00.276	 -0.028
       0:00.277	 -0.028
       0:00.278	 -0.028
       0:00.279	 -0.025
       0:00.280	 -0.023
       0:00.281	 -0.023
       0:00.282	 -0.025
       0:00.283	 -0.025
       0:00.284	 -0.025
       0:00.285	 -0.028
       0:00.286	 -0.030
       0:00.287	 -0.028
       0:00.288	 -0.023
       0:00.289	 -0.020
       0:00.290	 -0.025
       0:00.291	 -0.028
       0:00.292	 -0.028
       0:00.293	 -0.023
       0:00.294	 -0.023
       0:00.295	 -0.025
       0:00.296	 -0.030
       0:00.297	 -0.033
       0:00.298	 -0.033
       0:00.299	 -0.033
       0:00.300	 -0.030
       0:00.301	 -0.028
       0:00.302	 -0.030
       0:00.303	 -0.035
       0:00.304	 -0.038
       0:00.305	 -0.038
       0:00.306	 -0.035
       0:00.307	 -0.033
       0:00.308	 -0.030
       0:00.309	 -0.028
       0:00.310	 -0.028
       0:00.311	 -0.028
       0:00.312	 -0.030
       0:00.313	 -0.030
       0:00.314	 -0.028
       0:00.315	 -0.028
       0:00.316	 -0.030
       0:00.317	 -0.035
       0:00.318	 -0.038
       0:00.319	 -0.035
       0:00.320	 -0.030
       0:00.321	 -0.025
       0:00.322	 -0.023
       0:00.323	 -0.025
       0:00.324	 -0.028
       0:00.325	 -0.030
       0:00.326	 -0.033
       0:00.327	 -0.033
       0:00.328	 -0.030
       0:00.329	 -0.033
       0:00.330	 -0.035
       0:00.331	 -0.038
       0:00.332	 -0.035
       0:00.333	 -0.033
       0:00.334	 -0.033
       0:00.335	 -0.038
       0:00.336	 -0.038
       0:00.337	 -0.033
       0:00.338	 -0.025
       0:00.339	 -0.025
       0:00.340	 -0.030
       0:00.341	 -0.035
       0:00.342	 -0.035
       0:00.343	 -0.033
       0:00.344	 -0.033
       0:00.345	 -0.035
       0:00.346	 -0.035
       0:00.347	 -0.033
       0:00.348	 -0.030
       0:00.349	 -0.033
       0:00.350	 -0.038
       0:00.351	 -0.040
       0:00.352	 -0.040
       0:00.353	 -0.038
       0:00.354	 -0.038
       0:00.355	 -0.038
       0:00.356	 -0.038
       0:00.357	 -0.038
       0:00.358	 -0.038
       0:00.359	 -0.040
       0:00.360	 -0.040
       0:00.361	 -0.038
       0:00.362	 -0.033
       0:00.363	 -0.030
       0:00.364	 -0.033
       0:00.365	 -0.035
       0:00.366	 -0.038
       0:00.367	 -0.038
       0:00.368	 -0.038
       0:00.369	 -0.035
       0:00.370	 -0.033
       0:00.371	 -0.033
       0:00.372	 -0.033
       0:00.373	 -0.030
       0:00.374	 -0.025
       0:00.375	 -0.023
       0:00.376	 -0.025
       0:00.377	 -0.033
       0:00.378	 -0.035
       0:00.379	 -0.030
       0:00.380	 -0.023
       0:00.381	 -0.023
       0:00.382	 -0.028
       0:00.383	 -0.030
       0:00.384	 -0.030
       0:00.385	 -0.030
       0:00.386	 -0.033
       0:00.387	 -0.035
       0:00.388	 -0.033
       0:00.389	 -0.030
       0:00.390	 -0.028
       0:00.391	 -0.030
       0:00.392	 -0.035
       0:00.393	 -0.038
       0:00.394	 -0.038
       0:00.395	 -0.033
       0:00.396	 -0.030
       0:00.397	 -0.033
       0:00.398	 -0.040
       0:00.399	 -0.043
       0:00.400	 -0.040
       0:00.401	 -0.038
       0:00.402	 -0.035
       0:00.403	 -0.035
       0:00.404	 -0.033
       0:00.405	 -0.033
       0:00.406	 -0.038
       0:00.407	 -0.040
       0:00.408	 -0.035
       0:00.409	 -0.030
       0:00.410	 -0.030
       0:00.411	 -0.035
       0:00.412	 -0.035
       0:00.413	 -0.030
       0:00.414	 -0.028
       0:00.415	 -0.030
       0:00.416	 -0.035
       0:00.417	 -0.035
       0:00.418	 -0.033
       0:00.419	 -0.033
       0:00.420	 -0.035
       0:00.421	 -0.033
       0:00.422	 -0.030
       0:00.423	 -0.030
       0:00.424	 -0.033
       0:00.425	 -0.035
       0:00.426	 -0.033
       0:00.427	 -0.028
       0:00.428	 -0.025
       0:00.429	 -0.025
       0:00.430	 -0.030
       0:00.431	 -0.035
       0:00.432	 -0.035
       0:00.433	 -0.030
       0:00.434	 -0.025
       0:00.435	 -0.025
       0:00.436	 -0.030
       0:00.437	 -0.035
